Pillar,Category,Assessment Parameter,Level 1: Not Initiated,Level 2: Emerging,Level 3: Established,Level 4: Advanced,Level 5: NZEB Optimized
Technical Readines = full marks =30/100 ,Building Orientation & Passive Design = full marks=7.5/100,Q1. Solar Path Alignment (East-West Axis) marks = 1.875/100,"Building's longer axis is aligned North-South, causing maximum heat gain on broad facades.(marks = 0.375)","Alignment is diagonal, leading to significant solar heat gain during morning and afternoon..(marks = 0.75)","Axis is partially oriented E-W, but significant broad wall areas still face direct E/W sun..(marks = 1.125)","Major roof and wall axis is primarily East-West, significantly reducing heat gain.(marks = 1.5)",Optimized East-West alignment; minimal building depth on E/W facades to prevent solar heat soak..(marks = 1.875)
,,Q2. North & South Facade Optimization  marks = 1.875/100,Window openings are placed randomly or primarily on East/West walls with no solar strategy.(marks = 0.375),Most openings are on E/W walls; North/South facades are underutilized for light/air.(marks = 0.75),Equal distribution of windows across all facades; some attempt to favor N/S for light..(marks = 1.125),Primary openings are strategically located on North and South faces for controlled daylighting.(marks = 1.5),"Fully optimized N/S fenestration; 90%+ of windows are on N/S facades to maximize soft, consistent light..(marks = 1.875)"
,,Q3. Prevailing Winds & Cross-Ventilation  marks = 1.875/100,Building is sealed or oriented to block prevailing winds; no natural ventilation potential.(marks = 0.375),"Some operable windows exist, but orientation does not align with local wind patterns.(marks = 0.75)","Building is oriented to catch some breeze, but internal layout obstructs cross-ventilation..(marks = 1.125)","Openings are aligned with prevailing winds to ""scoop"" cool air in and exhaust warm air out.(marks = 1.5)",Optimized for passive cooling; aerodynamically oriented to maximize pressure differentials for 24/7 cross-ventilation.(marks = 1.875)
,,Q4. Shading & Fenestration Strategy  marks = 1.875/100,No external shading; large unshaded glass areas leading to high cooling loads.(marks = 0.375),Basic internal blinds/curtains only; no structural shading of the building skin.(marks = 0.75),Fixed overhangs exist on some windows but do not adequately block high-angle sun..(marks = 1.125),"Comprehensive shading (fins, louvers, or deep overhangs) tailored specifically for N/S paths(marks = 1.5).","Dynamic or bio-climatic shading (e.g., automated louvers or dense greenery) fully protects all glazing.(marks = 1.875)"
,Building Envelope Performance = full marks=7.5/100,Q5. Insulation & Thermal Resistance (R-Value)  marks = 1.875/100,No insulation in walls/roof; high U-values leading to rapid heat transfer.(marks = 0.375),Minimal insulation; some thermal bridging at junctions and structural members.(marks = 0.75),"Standard insulation (e.g., mineral wool) used; meets local baseline building codes..(marks = 1.125)",High-performance materials (EPS-Expanded Polystyrene /AAC-Autoclaved Aerated Concrete) with thickness optimized for R-value; limited thermal bridging.(marks = 1.5),Continuous high-performance insulation; zero thermal bridging design; U-values exceed NZEB standards.(marks = 1.875)
,,Q6. Glazing Ratio (Window-to-Wall Ratio),Fully glazed facade (>70% WWR); significant greenhouse effect and heat gain.(marks = 0.375),High glazing ratio (50–70%); limited consideration for solar heat gain.(marks = 0.75),Moderate glazing (40–50%); some effort to balance daylight and heat gain..(marks = 1.125),Optimized glazing ratio (30–40%); strategically placed to reduce cooling load.(marks = 1.5),NZEB optimized ratio (<30% WWR on sun-facing facades); perfectly balanced for daylight and thermal control.(marks = 1.875)
,,Q7. Glazing Performance (U-Value & SHGC),Single-pane clear glass; no Low-E coatings; high Solar Heat Gain Coefficient (SHGC).(marks = 0.375),Double-pane glass but standard performance; basic shading to compensate for heat.(marks = 0.75),Double-glazed with basic Low-E coating; meets standard energy efficiency ratings..(marks = 1.125),High-performance double/triple glazing with inert gas (Argon) and low SHGC (<0.25).(marks = 1.5),Super-insulated glazing; high visual light transmittance with extremely low U-values.(marks = 1.875)
,,Q8. Airtightness & Infiltration Control,Significant air leakage through cracks/junctions; no air barrier; drafty interior.(marks = 0.375),Minor sealing efforts; no formal testing or measurement of infiltration rates.(marks = 0.75),Standard construction sealing; complies with basic local airtightness requirements..(marks = 1.125),Integrated air barrier system; low leakage rates; verified by partial blower door testing.(marks = 1.5),Passivhaus standard (ACH50 <= 0.6 h^-1); continuous air barrier from foundation to roof with MVHR integration.(marks = 1.875)
,HVAC System Efficiency = full marks=7.5/100,Q9. System Type & Efficiency (COP/EER),Aged systems (10+ years); Low Coefficient of Performance (COP).(marks = 0.375),Standard efficiency units; window or basic split ACs with no energy ratings.(marks = 0.75),"High-efficiency systems (e.g., Energy Star or 3-star rated); meets current energy codes..(marks = 1.125)",Variable Refrigerant Flow (VRF) or VFD-enabled chillers; high part-load efficiency.(marks = 1.5),NZEB optimized; ultra-high COP (>5.0); magnetic bearing chillers or advanced VRF with AI tuning.
,,Q10. Ventilation & Heat Recovery,ventilation relies on infiltration or simple exhaust fans.(marks = 0.375),Basic mechanical ventilation with no energy recovery or filtration strategy.(marks = 0.75),Controlled ventilation system; complies with ASHRAE 62.1 standards for air quality..(marks = 1.125),Dedicated Outdoor Air System (DOAS) with basic energy recovery wheels.(marks = 1.5),Full Heat Recovery (HRV) or Enthalpy recovery; extracts energy from exhaust air to pre-cool incoming air.(marks = 1.875)
,,Q11. Zoning & Delivery Control,"Single-zone control; ""All-on or All-off"" regardless of occupancy or solar gain.(marks = 0.375)",Basic multi-zone control with manual thermostats; limited precision.(marks = 0.75),Thermostatic controls in major areas; some automatic scheduling..(marks = 1.125),Advanced zoning with Variable Air Volume (VAV) boxes and occupancy sensors.(marks = 1.5),"Granular, demand-controlled ventilation (DCV) using CO2 sensors and individual micro-zones.(marks = 1.875)"
,,Q12. Maintenance & System Health,Reactive maintenance (repairs only upon system failure); no records.(marks = 0.375),Periodic manual cleaning; basic logbooks but no performance tracking.(marks = 0.75),Planned preventive maintenance; regular filter changes and refrigerant checks..(marks = 1.125),Condition-based monitoring; sensors alert staff to efficiency drops or leaks.(marks = 1.5),Continuous Commissioning; digital twin or BMS-integrated diagnostics for peak efficiency.(marks = 1.875)
,Renewable Space = full marks=7.5/100,Q13. Solar PV Rooftop Capacity,No available roof space or the roof is entirely shaded by nearby buildings/trees.(marks = 0.375),Limited roof space; potential to cover <10% of the annual building EUI.(marks = 0.75),Moderate roof space; potential to cover 10–30% of the annual building EUI..(marks = 1.125),Significant roof space; potential to cover 30–70% of the annual building EUI.(marks = 1.5),"Vast, unshaded roof space; potential to cover >70% of EUI on-site.(marks = 1.875)"
,,Q14. Storage & Grid Readiness,No space for batteries; building electrical system is not compatible with renewables.,Basic electrical room; would require major retrofits to integrate solar or storage.(marks = 0.75),Space exists for an inverter; building is wired for basic grid-tie solar..(marks = 1.125),"Dedicated space for a Battery Energy Storage System (BESS); ""Solar Ready"" wiring in place.(marks = 1.5)",Storage Ready; Integrated BESS installed or space reserved with thermal management and smart grid controls.(marks = 1.875)
,,Q15. Alternative Surface Potential,Only horizontal roof surfaces considered; no other renewable options.(marks = 0.375),"Potential for small-scale wind or solar on parking lots, but not yet assessed.(marks = 0.75)","Parking sheds or carports identified for ""Solar Canopy"" integration..(marks = 1.125)",Building facade is suitable for Building Integrated Photovoltaics (BIPV) or solar fins.(marks = 1.5),"Multi-Surface Integration; Roof, Facades, and Carports all utilized for maximum energy harvest.(marks = 1.875)"
,,Q16. Infrastructure for Expansion,Roof cannot support the weight of PV panels; no conduits for cabling.(marks = 0.375),"Structural capacity exists, but no infrastructure (conduits/access) for solar.(marks = 0.75)",Structural capacity verified; conduits for DC cabling are planned or partially installed..(marks = 1.125),Full structural and electrical capacity for a 100% EUI offset system.(marks = 1.5),Structural mounts and electrical tie-ins are pre-installed for immediate scaling.(marks = 1.875)
Operational Readiness = full marks = 25/100,Building Management Systems (BMS) & Controls = full marks = 6.25/100,Q17. BMS Infrastructure & Control  marks = 1.5625/100,"Manual Controls Only: All systems (HVAC, Lighting) are turned on/off manually; no automation.(marks = 0.3125)",Basic Thermostats: Stand-alone digital thermostats and timers are used for local control.(marks = 0.625),Centralized BMS: A central system monitors and controls major building services from one interface.(marks = 0.9375),"Sub-metering by Zone: BMS includes detailed energy sub-metering for specific floors, departments, or high-load equipment.(marks = 1.25)",AI-Driven / Demand Response: Fully automated AI that predicts energy needs and interacts with the grid for Demand Response.)
,,Q18. Data Granularity & Frequency marks = 1.5625/100,No energy data collected; only monthly utility bills are available.(marks = 0.3125),Manual monthly recording of main meter readings into a spreadsheet.(marks = 0.625),Real-time monitoring of total building load with hourly data logging.(marks = 0.9375),15-minute interval data for all sub-meters; data is visualized in a dashboard..(marks = 1.25),High-Frequency Granularity: Real-time (second-by-second) data streaming with automated anomaly detection..(marks = 1.5625)
,,Q19. System Integration (Interoperability) marks = 1.5625/100,"Systems operate in silos; HVAC, Lighting, and Fire systems do not communicate.(marks = 0.3125)",Minimal integration; lighting and HVAC might share a basic schedule but no data.(marks = 0.625),"Major systems integrated via standard protocols (e.g., BACnet, Modbus) to a single BMS.(marks = 0.9375)","Holistic Integration: All systems, including security and elevators, contribute data to energy optimization..(marks = 1.25)",Full Interoperability: Plug-and-play integration with external IoT sensors and local renewable energy storage..(marks = 1.5625)
,,Q20. Control Logic & Automation marks = 1.5625/100),No automation; systems run 24/7 or rely on human memory to turn off.(marks = 0.3125),"Simple time-clock scheduling (e.g., lights on at 8 AM, off at 6 PM).(marks = 0.625)",Schedule-based automation with manual overrides for holidays or events.(marks = 0.9375),Occupancy-Based Control: Sensors automatically adjust HVAC/Lighting based on real-time room usage..(marks = 1.25),Predictive Control: System uses weather forecasts and occupancy trends to pre-cool or pre-heat spaces efficiently..(marks = 1.5625)
,Maintenance & Lifecycle Management= full marks = 6.25/100,Q21. Primary Maintenance Strategy marks = 1.5625/100,Reactive Repairs: Systems are only fixed after they break down; no regular upkeep.(marks = 0.3125),"Basic Schedule: Filter changes and cleaning done once or twice a year, regardless of usage.(marks = 0.625)",Preventive Maintenance: Scheduled servicing based on manufacturer guidelines and run-hours.(marks = 0.9375),Data-Driven Maintenance: Uses BMS data and sensor alerts to service equipment before failure..(marks = 1.25),Continuous Commissioning: An ongoing process using real-time data to optimize energy and comfort 24/7.
,,Q22. Asset Documentation & Information Management marks = 1.5625/100,"Paper-based records or no records of equipment age, repair history, or efficiency.(marks = 0.3125)",Basic spreadsheet (Excel) tracking of major assets and manual logbooks.(marks = 0.625),CMMS Integration: Computerized Maintenance Management System used to track work orders.(marks = 0.9375),Digital Asset Tracking: QR codes/BIM used to access real-time repair history and energy data..(marks = 1.25),Digital Twin: A live virtual model of the building that simulates and optimizes maintenance needs..(marks = 1.5625)
,,Q23. Commissioning Strategy marks = 1.5625/100,No Commissioning: Systems have never been tested to see if they meet the original design intent.(marks = 0.3125),Initial Commissioning: Testing was done only during the building's original construction phase.(marks = 0.625),"Retro-Commissioning: Systems are re-tested and tuned every 3–5 years to fix ""performance drift.""(marks = 0.9375)",Monitoring-Based Cx: Software tools continuously monitor system outputs for faults or energy waste..(marks = 1.25),Automated Continuous Cx: Automatically adjusts setpoints to maintain NZEB performance levels..(marks = 1.5625)
,,Q24. Equipment Calibration & Testing marks = 1.5625/100,Sensors and thermostats are never calibrated; high risk of inaccurate readings.(marks = 0.3125),Calibration only occurs when a major system fails or comfort issues are reported.(marks = 0.625),"Periodic calibration of critical sensors (Temperature, CO2) every 2 years.(marks = 0.9375)",Annual testing and calibration of all energy-impacting sensors and meters..(marks = 1.25),Self-Diagnostic Systems: Smart sensors that alert the team when they drift out of calibration..(marks = 1.5625)
,Staff Training= full marks = 6.25/100,Q25. Energy Management Expertise marks = 1.5625/100,No Energy Training: Staff are only trained in basic duties; no awareness of energy impact.(marks = 0.3125),"General Facilities Staff: Standard FM training focused on ""keeping things running"" rather than efficiency.(marks = 0.625)",Green Building Trained: Staff hold basic certifications or have attended workshops on LEED/GreenSL principles.(marks = 0.9375),Certified Energy Manager (CEM): A formally certified professional oversees energy audits and efficiency planning..(marks = 1.25),NZEB Specialist On-Site: Dedicated expert with specific NZEB operational certification and deep systems-thinking skills..(marks = 1.5625)
